instant,dates,season,years,months,hours,holiday,day_a_week,weathersit,temp,atemp,hum,windspeed,casual,registered,total,days_category,hum_category
54,2011-01-03,Winter,2011,Jan,8,Not,Mon,Clear,0.14,0.1212,0.5,0.2836,1,153,154,Weekday,Ideal
55,2011-01-03,Winter,2011,Jan,9,Not,Mon,Clear,0.16,0.1364,0.43,0.3881,7,81,88,Weekday,Too Dry
56,2011-01-03,Winter,2011,Jan,10,Not,Mon,Clear,0.18,0.1667,0.43,0.2537,11,33,44,Weekday,Too Dry
57,2011-01-03,Winter,2011,Jan,11,Not,Mon,Clear,0.2,0.1818,0.4,0.3284,10,41,51,Weekday,Too Dry
58,2011-01-03,Winter,2011,Jan,12,Not,Mon,Clear,0.22,0.2121,0.35,0.2985,13,48,61,Weekday,Too Dry
59,2011-01-03,Winter,2011,Jan,13,Not,Mon,Clear,0.24,0.2121,0.35,0.2836,8,53,61,Weekday,Too Dry
60,2011-01-03,Winter,2011,Jan,14,Not,Mon,Clear,0.26,0.2424,0.3,0.2836,11,66,77,Weekday,Too Dry
61,2011-01-03,Winter,2011,Jan,15,Not,Mon,Clear,0.26,0.2424,0.3,0.2537,14,58,72,Weekday,Too Dry
62,2011-01-03,Winter,2011,Jan,16,Not,Mon,Clear,0.26,0.2424,0.3,0.2537,9,67,76,Weekday,Too Dry
63,2011-01-03,Winter,2011,Jan,17,Not,Mon,Clear,0.24,0.2273,0.3,0.2239,11,146,157,Weekday,Too Dry
64,2011-01-03,Winter,2011,Jan,18,Not,Mon,Clear,0.24,0.2576,0.32,0.1045,9,148,157,Weekday,Too Dry
65,2011-01-03,Winter,2011,Jan,19,Not,Mon,Clear,0.2,0.2576,0.47,0.0,8,102,110,Weekday,Ideal
66,2011-01-03,Winter,2011,Jan,20,Not,Mon,Clear,0.2,0.2273,0.47,0.1045,3,49,52,Weekday,Ideal
67,2011-01-03,Winter,2011,Jan,21,Not,Mon,Clear,0.18,0.197,0.64,0.1343,3,49,52,Weekday,Ideal
68,2011-01-03,Winter,2011,Jan,22,Not,Mon,Clear,0.14,0.1515,0.69,0.1343,0,20,20,Weekday,Too Moist
69,2011-01-03,Winter,2011,Jan,23,Not,Mon,Clear,0.18,0.2121,0.55,0.1045,1,11,12,Weekday,Ideal
70,2011-01-04,Winter,2011,Jan,0,Not,Tue,Clear,0.16,0.1818,0.55,0.1045,0,5,5,Weekday,Ideal
71,2011-01-04,Winter,2011,Jan,1,Not,Tue,Clear,0.16,0.1818,0.59,0.1045,0,2,2,Weekday,Ideal
72,2011-01-04,Winter,2011,Jan,2,Not,Tue,Clear,0.14,0.1515,0.63,0.1343,0,1,1,Weekday,Ideal
73,2011-01-04,Winter,2011,Jan,4,Not,Tue,Clear,0.14,0.1818,0.63,0.0896,0,2,2,Weekday,Ideal
74,2011-01-04,Winter,2011,Jan,5,Not,Tue,Clear,0.12,0.1515,0.68,0.1045,0,4,4,Weekday,Too Moist
75,2011-01-04,Winter,2011,Jan,6,Not,Tue,Clear,0.12,0.1515,0.74,0.1045,0,36,36,Weekday,Too Moist
76,2011-01-04,Winter,2011,Jan,7,Not,Tue,Clear,0.12,0.1515,0.74,0.1343,2,92,94,Weekday,Too Moist
77,2011-01-04,Winter,2011,Jan,8,Not,Tue,Clear,0.14,0.1515,0.69,0.1642,2,177,179,Weekday,Too Moist
78,2011-01-04,Winter,2011,Jan,9,Not,Tue,Clear,0.16,0.1515,0.64,0.2239,2,98,100,Weekday,Ideal
79,2011-01-04,Winter,2011,Jan,10,Not,Tue,Misty,0.16,0.1364,0.69,0.3284,5,37,42,Weekday,Too Moist
80,2011-01-04,Winter,2011,Jan,11,Not,Tue,Clear,0.22,0.2121,0.51,0.2985,7,50,57,Weekday,Ideal
81,2011-01-04,Winter,2011,Jan,12,Not,Tue,Clear,0.22,0.2273,0.51,0.1642,12,66,78,Weekday,Ideal
82,2011-01-04,Winter,2011,Jan,13,Not,Tue,Clear,0.24,0.2273,0.56,0.194,18,79,97,Weekday,Ideal
83,2011-01-04,Winter,2011,Jan,14,Not,Tue,Clear,0.26,0.2576,0.52,0.2239,9,54,63,Weekday,Ideal
84,2011-01-04,Winter,2011,Jan,15,Not,Tue,Clear,0.28,0.2727,0.52,0.2537,17,48,65,Weekday,Ideal
85,2011-01-04,Winter,2011,Jan,16,Not,Tue,Clear,0.3,0.2879,0.49,0.2537,15,68,83,Weekday,Ideal
86,2011-01-04,Winter,2011,Jan,17,Not,Tue,Clear,0.28,0.2727,0.48,0.2239,10,202,212,Weekday,Ideal
87,2011-01-04,Winter,2011,Jan,18,Not,Tue,Clear,0.26,0.2576,0.48,0.194,3,179,182,Weekday,Ideal
88,2011-01-04,Winter,2011,Jan,19,Not,Tue,Clear,0.24,0.2576,0.48,0.1045,2,110,112,Weekday,Ideal
89,2011-01-04,Winter,2011,Jan,20,Not,Tue,Clear,0.24,0.2576,0.48,0.1045,1,53,54,Weekday,Ideal
90,2011-01-04,Winter,2011,Jan,21,Not,Tue,Clear,0.22,0.2727,0.64,0.0,0,48,48,Weekday,Ideal
91,2011-01-04,Winter,2011,Jan,22,Not,Tue,Clear,0.22,0.2576,0.64,0.0896,1,34,35,Weekday,Ideal
92,2011-01-04,Winter,2011,Jan,23,Not,Tue,Clear,0.2,0.2273,0.69,0.0896,2,9,11,Weekday,Too Moist
93,2011-01-05,Winter,2011,Jan,0,Not,Wed,Clear,0.2,0.2576,0.64,0.0,0,6,6,Weekday,Ideal
94,2011-01-05,Winter,2011,Jan,1,Not,Wed,Clear,0.16,0.197,0.74,0.0896,0,6,6,Weekday,Too Moist
95,2011-01-05,Winter,2011,Jan,2,Not,Wed,Clear,0.16,0.197,0.74,0.0896,0,2,2,Weekday,Too Moist
96,2011-01-05,Winter,2011,Jan,4,Not,Wed,Clear,0.24,0.2273,0.48,0.2239,0,2,2,Weekday,Ideal
97,2011-01-05,Winter,2011,Jan,5,Not,Wed,Clear,0.22,0.2273,0.47,0.1642,0,3,3,Weekday,Ideal
98,2011-01-05,Winter,2011,Jan,6,Not,Wed,Clear,0.2,0.197,0.47,0.2239,0,33,33,Weekday,Ideal
99,2011-01-05,Winter,2011,Jan,7,Not,Wed,Clear,0.18,0.1818,0.43,0.194,1,87,88,Weekday,Too Dry
100,2011-01-05,Winter,2011,Jan,8,Not,Wed,Clear,0.2,0.1818,0.4,0.2985,3,192,195,Weekday,Too Dry
101,2011-01-05,Winter,2011,Jan,9,Not,Wed,Clear,0.22,0.197,0.37,0.3284,6,109,115,Weekday,Too Dry
102,2011-01-05,Winter,2011,Jan,10,Not,Wed,Clear,0.22,0.197,0.37,0.3284,4,53,57,Weekday,Too Dry
103,2011-01-05,Winter,2011,Jan,11,Not,Wed,Clear,0.26,0.2273,0.33,0.3284,12,34,46,Weekday,Too Dry
104,2011-01-05,Winter,2011,Jan,12,Not,Wed,Clear,0.26,0.2273,0.33,0.3284,5,74,79,Weekday,Too Dry
105,2011-01-05,Winter,2011,Jan,13,Not,Wed,Clear,0.28,0.2576,0.3,0.2985,6,65,71,Weekday,Too Dry
106,2011-01-05,Winter,2011,Jan,14,Not,Wed,Clear,0.3,0.2879,0.28,0.194,10,52,62,Weekday,Too Dry
107,2011-01-05,Winter,2011,Jan,15,Not,Wed,Clear,0.3,0.2879,0.28,0.194,7,55,62,Weekday,Too Dry
108,2011-01-05,Winter,2011,Jan,16,Not,Wed,Clear,0.3,0.3182,0.28,0.0896,4,85,89,Weekday,Too Dry
109,2011-01-05,Winter,2011,Jan,17,Not,Wed,Clear,0.24,0.2273,0.38,0.194,4,186,190,Weekday,Too Dry
110,2011-01-05,Winter,2011,Jan,18,Not,Wed,Clear,0.24,0.2424,0.38,0.1343,3,166,169,Weekday,Too Dry
111,2011-01-05,Winter,2011,Jan,19,Not,Wed,Clear,0.24,0.2576,0.38,0.1045,5,127,132,Weekday,Too Dry
112,2011-01-05,Winter,2011,Jan,20,Not,Wed,Clear,0.22,0.2273,0.47,0.1642,7,82,89,Weekday,Ideal
113,2011-01-05,Winter,2011,Jan,21,Not,Wed,Clear,0.2,0.197,0.51,0.194,3,40,43,Weekday,Ideal
114,2011-01-05,Winter,2011,Jan,22,Not,Wed,Clear,0.18,0.197,0.55,0.1343,1,41,42,Weekday,Ideal
115,2011-01-05,Winter,2011,Jan,23,Not,Wed,Clear,0.2,0.2576,0.47,0.0,1,18,19,Weekday,Ideal
116,2011-01-06,Winter,2011,Jan,0,Not,Thur,Clear,0.18,0.2424,0.55,0.0,0,11,11,Weekday,Ideal
117,2011-01-06,Winter,2011,Jan,1,Not,Thur,Clear,0.16,0.2273,0.64,0.0,0,4,4,Weekday,Ideal
118,2011-01-06,Winter,2011,Jan,2,Not,Thur,Clear,0.16,0.2273,0.64,0.0,0,2,2,Weekday,Ideal
119,2011-01-06,Winter,2011,Jan,4,Not,Thur,Misty,0.16,0.197,0.64,0.0896,0,1,1,Weekday,Ideal
120,2011-01-06,Winter,2011,Jan,5,Not,Thur,Misty,0.14,0.1818,0.69,0.0896,0,4,4,Weekday,Too Moist
121,2011-01-06,Winter,2011,Jan,6,Not,Thur,Misty,0.14,0.1667,0.63,0.1045,0,36,36,Weekday,Ideal
122,2011-01-06,Winter,2011,Jan,7,Not,Thur,Misty,0.16,0.2273,0.59,0.0,0,95,95,Weekday,Ideal
123,2011-01-06,Winter,2011,Jan,8,Not,Thur,Clear,0.16,0.2273,0.59,0.0,3,216,219,Weekday,Ideal
124,2011-01-06,Winter,2011,Jan,9,Not,Thur,Misty,0.18,0.2424,0.51,0.0,6,116,122,Weekday,Ideal
125,2011-01-06,Winter,2011,Jan,10,Not,Thur,Clear,0.2,0.2576,0.47,0.0,3,42,45,Weekday,Ideal
126,2011-01-06,Winter,2011,Jan,11,Not,Thur,Clear,0.22,0.2576,0.44,0.0896,2,57,59,Weekday,Too Dry
127,2011-01-06,Winter,2011,Jan,12,Not,Thur,Clear,0.26,0.2879,0.35,0.0,6,78,84,Weekday,Too Dry
128,2011-01-06,Winter,2011,Jan,13,Not,Thur,Clear,0.26,0.2727,0.35,0.1045,12,55,67,Weekday,Too Dry
129,2011-01-06,Winter,2011,Jan,14,Not,Thur,Clear,0.28,0.2727,0.36,0.1642,11,59,70,Weekday,Too Dry
130,2011-01-06,Winter,2011,Jan,15,Not,Thur,Clear,0.28,0.2727,0.36,0.0,8,54,62,Weekday,Too Dry
131,2011-01-06,Winter,2011,Jan,16,Not,Thur,Clear,0.26,0.2576,0.38,0.1642,12,74,86,Weekday,Too Dry
132,2011-01-06,Winter,2011,Jan,17,Not,Thur,Clear,0.22,0.2273,0.51,0.1642,9,163,172,Weekday,Ideal
133,2011-01-06,Winter,2011,Jan,18,Not,Thur,Clear,0.22,0.2273,0.51,0.1343,5,158,163,Weekday,Ideal
134,2011-01-06,Winter,2011,Jan,19,Not,Thur,Clear,0.22,0.2576,0.55,0.0896,3,109,112,Weekday,Ideal
135,2011-01-06,Winter,2011,Jan,20,Not,Thur,Clear,0.2,0.2121,0.51,0.1642,3,66,69,Weekday,Ideal
136,2011-01-06,Winter,2011,Jan,21,Not,Thur,Misty,0.22,0.2121,0.55,0.2239,0,48,48,Weekday,Ideal
137,2011-01-06,Winter,2011,Jan,22,Not,Thur,Misty,0.22,0.2121,0.51,0.2836,1,51,52,Weekday,Ideal
138,2011-01-06,Winter,2011,Jan,23,Not,Thur,Misty,0.2,0.197,0.59,0.194,4,19,23,Weekday,Ideal
139,2011-01-07,Winter,2011,Jan,0,Not,Fri,Misty,0.2,0.197,0.64,0.194,4,13,17,Weekday,Ideal
140,2011-01-07,Winter,2011,Jan,1,Not,Fri,Misty,0.2,0.197,0.69,0.2239,2,5,7,Weekday,Too Moist
141,2011-01-07,Winter,2011,Jan,2,Not,Fri,Misty,0.2,0.197,0.69,0.2239,0,1,1,Weekday,Too Moist
142,2011-01-07,Winter,2011,Jan,4,Not,Fri,Misty,0.2,0.2121,0.69,0.1343,0,1,1,Weekday,Too Moist
143,2011-01-07,Winter,2011,Jan,5,Not,Fri,Light_Rain,0.22,0.2727,0.55,0.0,0,5,5,Weekday,Ideal
144,2011-01-07,Winter,2011,Jan,6,Not,Fri,Misty,0.2,0.2576,0.69,0.0,8,26,34,Weekday,Too Moist
145,2011-01-07,Winter,2011,Jan,7,Not,Fri,Clear,0.2,0.2121,0.69,0.1343,8,76,84,Weekday,Too Moist
146,2011-01-07,Winter,2011,Jan,8,Not,Fri,Clear,0.2,0.197,0.51,0.2537,20,190,210,Weekday,Ideal
147,2011-01-07,Winter,2011,Jan,9,Not,Fri,Clear,0.2,0.1818,0.47,0.2985,9,125,134,Weekday,Ideal
148,2011-01-07,Winter,2011,Jan,10,Not,Fri,Clear,0.22,0.197,0.37,0.3284,16,47,63,Weekday,Too Dry
149,2011-01-07,Winter,2011,Jan,11,Not,Fri,Misty,0.2,0.197,0.4,0.2239,19,48,67,Weekday,Too Dry
150,2011-01-07,Winter,2011,Jan,12,Not,Fri,Misty,0.2,0.197,0.37,0.2537,9,50,59,Weekday,Too Dry
151,2011-01-07,Winter,2011,Jan,13,Not,Fri,Misty,0.2,0.1818,0.37,0.2836,9,64,73,Weekday,Too Dry
152,2011-01-07,Winter,2011,Jan,14,Not,Fri,Misty,0.2,0.197,0.4,0.2537,7,43,50,Weekday,Too Dry
153,2011-01-07,Winter,2011,Jan,15,Not,Fri,Misty,0.2,0.2121,0.37,0.1642,9,63,72,Weekday,Too Dry
154,2011-01-07,Winter,2011,Jan,16,Not,Fri,Misty,0.2,0.2121,0.37,0.1642,5,82,87,Weekday,Too Dry
155,2011-01-07,Winter,2011,Jan,17,Not,Fri,Misty,0.2,0.2576,0.37,0.0,9,178,187,Weekday,Too Dry
156,2011-01-07,Winter,2011,Jan,18,Not,Fri,Clear,0.2,0.2273,0.4,0.0896,7,116,123,Weekday,Too Dry
157,2011-01-07,Winter,2011,Jan,19,Not,Fri,Clear,0.16,0.197,0.55,0.0896,3,92,95,Weekday,Ideal
158,2011-01-07,Winter,2011,Jan,20,Not,Fri,Clear,0.18,0.2121,0.47,0.1045,1,50,51,Weekday,Ideal
159,2011-01-07,Winter,2011,Jan,21,Not,Fri,Clear,0.18,0.197,0.47,0.1343,0,39,39,Weekday,Ideal
160,2011-01-07,Winter,2011,Jan,22,Not,Fri,Misty,0.18,0.197,0.43,0.1642,2,34,36,Weekday,Too Dry
161,2011-01-07,Winter,2011,Jan,23,Not,Fri,Misty,0.18,0.197,0.51,0.1642,1,14,15,Weekday,Ideal
162,2011-01-08,Winter,2011,Jan,0,Not,Sat,Misty,0.18,0.197,0.51,0.1642,1,24,25,Weekend,Ideal
163,2011-01-08,Winter,2011,Jan,1,Not,Sat,Misty,0.18,0.2121,0.55,0.0896,1,15,16,Weekend,Ideal
164,2011-01-08,Winter,2011,Jan,2,Not,Sat,Misty,0.18,0.2424,0.55,0.0,3,13,16,Weekend,Ideal
165,2011-01-08,Winter,2011,Jan,3,Not,Sat,Light_Rain,0.18,0.197,0.55,0.1642,0,7,7,Weekend,Ideal
166,2011-01-08,Winter,2011,Jan,4,Not,Sat,Light_Rain,0.18,0.197,0.55,0.1642,0,1,1,Weekend,Ideal
167,2011-01-08,Winter,2011,Jan,5,Not,Sat,Misty,0.16,0.1667,0.74,0.1642,0,5,5,Weekend,Too Moist
168,2011-01-08,Winter,2011,Jan,6,Not,Sat,Misty,0.16,0.1667,0.74,0.1642,0,2,2,Weekend,Too Moist
169,2011-01-08,Winter,2011,Jan,7,Not,Sat,Misty,0.16,0.1818,0.74,0.1045,1,8,9,Weekend,Too Moist
170,2011-01-08,Winter,2011,Jan,8,Not,Sat,Light_Rain,0.16,0.1818,0.93,0.1045,0,15,15,Weekend,Too Moist
171,2011-01-08,Winter,2011,Jan,9,Not,Sat,Light_Rain,0.16,0.1818,0.93,0.1045,0,20,20,Weekend,Too Moist
172,2011-01-08,Winter,2011,Jan,10,Not,Sat,Misty,0.18,0.197,0.8,0.1642,5,56,61,Weekend,Too Moist
173,2011-01-08,Winter,2011,Jan,11,Not,Sat,Misty,0.2,0.1818,0.69,0.3881,2,60,62,Weekend,Too Moist
174,2011-01-08,Winter,2011,Jan,12,Not,Sat,Misty,0.2,0.1818,0.59,0.3582,8,90,98,Weekend,Ideal
175,2011-01-08,Winter,2011,Jan,13,Not,Sat,Clear,0.2,0.1818,0.44,0.3284,7,95,102,Weekend,Too Dry
176,2011-01-08,Winter,2011,Jan,14,Not,Sat,Clear,0.2,0.1667,0.32,0.4925,12,83,95,Weekend,Too Dry
177,2011-01-08,Winter,2011,Jan,15,Not,Sat,Clear,0.2,0.1667,0.32,0.4478,5,69,74,Weekend,Too Dry
178,2011-01-08,Winter,2011,Jan,16,Not,Sat,Clear,0.18,0.1364,0.29,0.4478,8,68,76,Weekend,Too Dry
179,2011-01-08,Winter,2011,Jan,17,Not,Sat,Clear,0.16,0.1212,0.37,0.5522,5,64,69,Weekend,Too Dry
180,2011-01-08,Winter,2011,Jan,18,Not,Sat,Clear,0.14,0.1212,0.39,0.2985,3,52,55,Weekend,Too Dry
181,2011-01-08,Winter,2011,Jan,19,Not,Sat,Clear,0.14,0.1212,0.36,0.2537,4,26,30,Weekend,Too Dry
182,2011-01-08,Winter,2011,Jan,20,Not,Sat,Clear,0.12,0.1212,0.36,0.2537,0,28,28,Weekend,Too Dry
183,2011-01-08,Winter,2011,Jan,21,Not,Sat,Clear,0.12,0.1061,0.39,0.3582,2,35,37,Weekend,Too Dry
184,2011-01-08,Winter,2011,Jan,22,Not,Sat,Clear,0.12,0.1061,0.36,0.3881,1,33,34,Weekend,Too Dry
185,2011-01-08,Winter,2011,Jan,23,Not,Sat,Clear,0.1,0.0606,0.39,0.4478,0,22,22,Weekend,Too Dry
186,2011-01-09,Winter,2011,Jan,0,Not,Sun,Clear,0.1,0.0758,0.42,0.3881,1,24,25,Weekend,Too Dry
187,2011-01-09,Winter,2011,Jan,1,Not,Sun,Clear,0.1,0.0606,0.42,0.4627,0,12,12,Weekend,Too Dry
188,2011-01-09,Winter,2011,Jan,2,Not,Sun,Clear,0.1,0.0606,0.46,0.4627,0,11,11,Weekend,Ideal
189,2011-01-09,Winter,2011,Jan,3,Not,Sun,Clear,0.1,0.0758,0.46,0.4179,0,4,4,Weekend,Ideal
190,2011-01-09,Winter,2011,Jan,4,Not,Sun,Clear,0.08,0.0909,0.53,0.194,0,1,1,Weekend,Ideal
191,2011-01-09,Winter,2011,Jan,5,Not,Sun,Clear,0.08,0.0909,0.53,0.194,0,1,1,Weekend,Ideal
192,2011-01-09,Winter,2011,Jan,6,Not,Sun,Clear,0.1,0.0909,0.49,0.2836,0,1,1,Weekend,Ideal
193,2011-01-09,Winter,2011,Jan,7,Not,Sun,Clear,0.08,0.0909,0.53,0.194,1,5,6,Weekend,Ideal
194,2011-01-09,Winter,2011,Jan,8,Not,Sun,Clear,0.1,0.0909,0.49,0.2836,0,10,10,Weekend,Ideal
195,2011-01-09,Winter,2011,Jan,9,Not,Sun,Clear,0.12,0.0758,0.46,0.5224,0,19,19,Weekend,Ideal
196,2011-01-09,Winter,2011,Jan,10,Not,Sun,Clear,0.14,0.1061,0.43,0.3881,0,49,49,Weekend,Too Dry
197,2011-01-09,Winter,2011,Jan,11,Not,Sun,Clear,0.16,0.1212,0.4,0.5224,2,47,49,Weekend,Too Dry
198,2011-01-09,Winter,2011,Jan,12,Not,Sun,Clear,0.18,0.1364,0.37,0.4478,4,79,83,Weekend,Too Dry
199,2011-01-09,Winter,2011,Jan,13,Not,Sun,Clear,0.2,0.1667,0.34,0.4478,6,69,75,Weekend,Too Dry
200,2011-01-09,Winter,2011,Jan,14,Not,Sun,Clear,0.22,0.1818,0.32,0.4627,8,64,72,Weekend,Too Dry
201,2011-01-09,Winter,2011,Jan,15,Not,Sun,Clear,0.22,0.197,0.35,0.3582,5,77,82,Weekend,Too Dry
202,2011-01-09,Winter,2011,Jan,16,Not,Sun,Clear,0.2,0.1667,0.34,0.4478,13,79,92,Weekend,Too Dry
203,2011-01-09,Winter,2011,Jan,17,Not,Sun,Clear,0.18,0.1515,0.37,0.3881,3,59,62,Weekend,Too Dry
204,2011-01-09,Winter,2011,Jan,18,Not,Sun,Clear,0.16,0.1364,0.4,0.3284,4,44,48,Weekend,Too Dry
205,2011-01-09,Winter,2011,Jan,19,Not,Sun,Clear,0.16,0.1364,0.43,0.3284,1,40,41,Weekend,Too Dry
